SampleID	SampleType	ExperimentalSeries	ReadFile1	ReadFile2
GSM1956974	0	PRJNA304414	GSM1956974_1.fastq	GSM1956974_2.fastq
GSM1956975	0	PRJNA304414	GSM1956975_1.fastq	GSM1956975_2.fastq
GSM1956976	0	PRJNA304414	GSM1956976_1.fastq	GSM1956976_2.fastq
GSM1956977	Day1	PRJNA304414	GSM1956977_1.fastq	GSM1956977_2.fastq
GSM1956978	Day1	PRJNA304414	GSM1956978_1.fastq	GSM1956978_2.fastq
GSM1956979	Day1	PRJNA304414	GSM1956979_1.fastq	GSM1956979_2.fastq
GSM1956980	Day2	PRJNA304414	GSM1956980_1.fastq	GSM1956980_2.fastq
GSM1956981	Day2	PRJNA304414	GSM1956981_1.fastq	GSM1956981_2.fastq
GSM1956982	Day2	PRJNA304414	GSM1956982_1.fastq	GSM1956982_2.fastq
GSM1956983	Day3	PRJNA304414	GSM1956983_1.fastq	GSM1956983_2.fastq
GSM1956984	Day3	PRJNA304414	GSM1956984_1.fastq	GSM1956984_2.fastq
GSM1956985	Day3	PRJNA304414	GSM1956985_1.fastq	GSM1956985_2.fastq
GSM1956986	Day4	PRJNA304414	GSM1956986_1.fastq	GSM1956986_2.fastq
GSM1956987	Day4	PRJNA304414	GSM1956987_1.fastq	GSM1956987_2.fastq
GSM1956988	Day4	PRJNA304414	GSM1956988_1.fastq	GSM1956988_2.fastq
GSM1956989	Day5	PRJNA304414	GSM1956989_1.fastq	GSM1956989_2.fastq
GSM1956990	Day5	PRJNA304414	GSM1956990_1.fastq	GSM1956990_2.fastq
GSM1956991	Day5	PRJNA304414	GSM1956991_1.fastq	GSM1956991_2.fastq
GSM1956992	Day6	PRJNA304414	GSM1956992_1.fastq	GSM1956992_2.fastq
GSM1956993	Day6	PRJNA304414	GSM1956993_1.fastq	GSM1956993_2.fastq
GSM1956994	Day6	PRJNA304414	GSM1956994_1.fastq	GSM1956994_2.fastq
GSM1956995	Day7	PRJNA304414	GSM1956995_1.fastq	GSM1956995_2.fastq
GSM1956996	Day7	PRJNA304414	GSM1956996_1.fastq	GSM1956996_2.fastq
GSM1956997	Day7	PRJNA304414	GSM1956997_1.fastq	GSM1956997_2.fastq
GSM1957010	ESRP KD	PRJNA304419	GSM1957010_1.fastq	GSM1957010_2.fastq
GSM1957011	ESRP KD	PRJNA304419	GSM1957011_1.fastq	GSM1957011_2.fastq
GSM1957012	ESRP KD	PRJNA304419	GSM1957012_1.fastq	GSM1957012_2.fastq
GSM1957013	CTRL	PRJNA304419	GSM1957013_1.fastq	GSM1957013_2.fastq
GSM1957014	CTRL	PRJNA304419	GSM1957014_1.fastq	GSM1957014_2.fastq
GSM1957015	CTRL	PRJNA304419	GSM1957015_1.fastq	GSM1957015_2.fastq
GSM1957019	RBM47 KD	PRJNA304418	GSM1957019_1.fastq	GSM1957019_2.fastq
GSM1957020	RBM47 KD	PRJNA304418	GSM1957020_1.fastq	GSM1957020_2.fastq
GSM1957021	RBM47 KD	PRJNA304418	GSM1957021_1.fastq	GSM1957021_2.fastq
GSM1957022	CTRL	PRJNA304418	GSM1957022_1.fastq	GSM1957022_2.fastq
GSM1957023	CTRL	PRJNA304418	GSM1957023_1.fastq	GSM1957023_2.fastq
GSM1957024	CTRL	PRJNA304418	GSM1957024_1.fastq	GSM1957024_2.fastq
