prcomp	eigenvalue
PC1	22861.8373743123
PC2	10005.5910786468
PC3	3906.0608258328
PC4	2500.0824457085
PC5	1502.7911544541
PC6	754.5174276306
PC7	497.6975177315
PC8	487.5820306564
PC9	377.3800119976
PC10	293.1618748878
PC11	279.1956186104
PC12	262.0466624364
PC13	232.4492831353
PC14	214.5135038414
PC15	206.7267986325
PC16	195.8766180126
PC17	187.2905739829
PC18	184.4192293123
PC19	178.0186364616
PC20	176.2367337921
PC21	164.8914671026
PC22	160.80311666
PC23	158.1104192214
PC24	154.8898600637
PC25	152.1516179123
PC26	147.0685070472
PC27	144.3942043252
PC28	139.269964366
PC29	138.0433151466
PC30	131.0884414217
PC31	126.203896318
PC32	125.0817674705
PC33	116.8738854783
PC34	114.5493146588
PC35	112.2486000439
PC36	1.57931690853986E-025
